#averaged cross section (2l+1) excluded
#ang  Lt=0       Lt=1       Lt=2       Lt=3       Lt=4       Lt=5       Lt=6       Lt=7       Lt=8       Lt=9
104 5.2097e-04 8.1229e-04 4.2431e-03 3.6081e-03 4.5313e-03 3.2272e-03 2.2802e-03 1.6199e-03 1.0858e-03 4.0039e-04
106 4.7536e-04 7.4960e-04 3.8823e-03 3.3337e-03 4.2185e-03 3.0305e-03 2.1453e-03 1.5366e-03 1.0409e-03 3.8248e-04
108 4.3332e-04 6.9420e-04 3.5534e-03 3.0828e-03 3.9326e-03 2.8457e-03 2.0188e-03 1.4563e-03 9.9709e-04 3.6486e-04
110 3.9437e-04 6.4495e-04 3.2565e-03 2.8550e-03 3.6700e-03 2.6723e-03 1.9005e-03 1.3789e-03 9.5433e-04 3.4765e-04
112 3.5785e-04 6.0055e-04 2.9903e-03 2.6494e-03 3.4266e-03 2.5094e-03 1.7905e-03 1.3046e-03 9.1259e-04 3.3094e-04
114 3.2318e-04 5.5990e-04 2.7530e-03 2.4644e-03 3.1992e-03 2.3567e-03 1.6883e-03 1.2336e-03 8.7198e-04 3.1485e-04
116 2.9014e-04 5.2215e-04 2.5418e-03 2.2988e-03 2.9852e-03 2.2134e-03 1.5935e-03 1.1658e-03 8.3239e-04 2.9943e-04
118 2.5903e-04 4.8686e-04 2.3539e-03 2.1505e-03 2.7831e-03 2.0794e-03 1.5053e-03 1.1015e-03 7.9400e-04 2.8476e-04
120 2.3067e-04 4.5377e-04 2.1864e-03 2.0176e-03 2.5920e-03 1.9543e-03 1.4232e-03 1.0410e-03 7.5681e-04 2.7088e-04
122 2.0624e-04 4.2309e-04 2.0368e-03 1.8978e-03 2.4121e-03 1.8383e-03 1.3464e-03 9.8418e-04 7.2082e-04 2.5783e-04
124 1.8700e-04 3.9505e-04 1.9028e-03 1.7889e-03 2.2443e-03 1.7314e-03 1.2744e-03 9.3126e-04 6.8623e-04 2.4561e-04
126 1.7398e-04 3.6990e-04 1.7831e-03 1.6886e-03 2.0898e-03 1.6337e-03 1.2066e-03 8.8215e-04 6.5309e-04 2.3424e-04
128 1.6768e-04 3.4776e-04 1.6763e-03 1.5952e-03 1.9499e-03 1.5453e-03 1.1429e-03 8.3681e-04 6.2142e-04 2.2369e-04
130 1.6781e-04 3.2849e-04 1.5813e-03 1.5071e-03 1.8257e-03 1.4661e-03 1.0829e-03 7.9516e-04 5.9141e-04 2.1394e-04
132 1.7329e-04 3.1168e-04 1.4973e-03 1.4233e-03 1.7178e-03 1.3956e-03 1.0268e-03 7.5698e-04 5.6314e-04 2.0498e-04
134 1.8226e-04 2.9669e-04 1.4231e-03 1.3430e-03 1.6265e-03 1.3333e-03 9.7442e-04 7.2195e-04 5.3671e-04 1.9680e-04
136 1.9242e-04 2.8277e-04 1.3573e-03 1.2663e-03 1.5512e-03 1.2783e-03 9.2622e-04 6.8985e-04 5.1222e-04 1.8934e-04
138 2.0126e-04 2.6917e-04 1.2985e-03 1.1935e-03 1.4908e-03 1.2298e-03 8.8226e-04 6.6056e-04 4.8979e-04 1.8263e-04
140 2.0662e-04 2.5536e-04 1.2453e-03 1.1253e-03 1.4439e-03 1.1867e-03 8.4270e-04 6.3377e-04 4.6949e-04 1.7663e-04
142 2.0694e-04 2.4109e-04 1.1966e-03 1.0626e-03 1.4086e-03 1.1481e-03 8.0770e-04 6.0948e-04 4.5140e-04 1.7134e-04
144 2.0162e-04 2.2654e-04 1.1514e-03 1.0067e-03 1.3832e-03 1.1135e-03 7.7715e-04 5.8759e-04 4.3557e-04 1.6676e-04
146 1.9116e-04 2.1223e-04 1.1095e-03 9.5833e-04 1.3659e-03 1.0823e-03 7.5091e-04 5.6813e-04 4.2202e-04 1.6287e-04
148 1.7709e-04 1.9900e-04 1.0711e-03 9.1842e-04 1.3550e-03 1.0542e-03 7.2863e-04 5.5116e-04 4.1073e-04 1.5968e-04
150 1.6187e-04 1.8784e-04 1.0369e-03 8.8721e-04 1.3493e-03 1.0292e-03 7.0995e-04 5.3672e-04 4.0163e-04 1.5714e-04
152 1.4851e-04 1.7969e-04 1.0077e-03 8.6461e-04 1.3473e-03 1.0074e-03 6.9422e-04 5.2484e-04 3.9458e-04 1.5522e-04
154 1.4017e-04 1.7534e-04 9.8453e-04 8.4985e-04 1.3482e-03 9.8873e-04 6.8102e-04 5.1546e-04 3.8942e-04 1.5387e-04
156 1.3972e-04 1.7516e-04 9.6813e-04 8.4172e-04 1.3510e-03 9.7320e-04 6.6969e-04 5.0844e-04 3.8590e-04 1.5300e-04
158 1.4940e-04 1.7913e-04 9.5879e-04 8.3861e-04 1.3550e-03 9.6063e-04 6.5976e-04 5.0355e-04 3.8376e-04 1.5255e-04
160 1.7041e-04 1.8681e-04 9.5625e-04 8.3867e-04 1.3595e-03 9.5077e-04 6.5090e-04 5.0047e-04 3.8271e-04 1.5242e-04
162 2.0282e-04 1.9739e-04 9.5974e-04 8.4009e-04 1.3638e-03 9.4320e-04 6.4280e-04 4.9883e-04 3.8247e-04 1.5252e-04
164 2.4549e-04 2.0983e-04 9.6800e-04 8.4132e-04 1.3673e-03 9.3732e-04 6.3523e-04 4.9826e-04 3.8276e-04 1.5276e-04
166 2.9612e-04 2.2302e-04 9.7952e-04 8.4123e-04 1.3699e-03 9.3271e-04 6.2820e-04 4.9837e-04 3.8335e-04 1.5309e-04
168 3.5152e-04 2.3592e-04 9.9268e-04 8.3923e-04 1.3712e-03 9.2895e-04 6.2176e-04 4.9886e-04 3.8405e-04 1.5343e-04
170 4.0790e-04 2.4768e-04 1.0060e-03 8.3536e-04 1.3714e-03 9.2568e-04 6.1590e-04 4.9947e-04 3.8474e-04 1.5375e-04
172 4.6122e-04 2.5769e-04 1.0182e-03 8.3016e-04 1.3707e-03 9.2285e-04 6.1086e-04 5.0004e-04 3.8534e-04 1.5402e-04
174 5.0753e-04 2.6559e-04 1.0285e-03 8.2450e-04 1.3694e-03 9.2041e-04 6.0673e-04 5.0050e-04 3.8580e-04 1.5423e-04
176 5.4339e-04 2.7124e-04 1.0361e-03 8.1943e-04 1.3681e-03 9.1856e-04 6.0372e-04 5.0081e-04 3.8612e-04 1.5437e-04
178 5.6601e-04 2.7461e-04 1.0408e-03 8.1594e-04 1.3671e-03 9.1732e-04 6.0184e-04 5.0099e-04 3.8629e-04 1.5446e-04
180 5.7378e-04 2.7572e-04 1.0424e-03 8.1468e-04 1.3668e-03 9.1692e-04 6.0120e-04 5.0105e-04 3.8636e-04 1.5448e-04


# ang  onestep     twostep
    2  1.5975e-01  2.1694e-01
    4  1.5942e-01  2.1551e-01
    6  1.5843e-01  2.1317e-01
    8  1.5682e-01  2.1001e-01
   10  1.5466e-01  2.0614e-01
   12  1.5199e-01  2.0168e-01
   14  1.4893e-01  1.9676e-01
   16  1.4555e-01  1.9152e-01
   18  1.4195e-01  1.8608e-01
   20  1.3822e-01  1.8056e-01
   22  1.3441e-01  1.7505e-01
   24  1.3059e-01  1.6962e-01
   26  1.2678e-01  1.6433e-01
   28  1.2297e-01  1.5921e-01
   30  1.1915e-01  1.5428e-01
   32  1.1528e-01  1.4952e-01
   34  1.1133e-01  1.4494e-01
   36  1.0727e-01  1.4049e-01
   38  1.0306e-01  1.3616e-01
   40  9.8717e-02  1.3191e-01
   42  9.4242e-02  1.2771e-01
   44  8.9670e-02  1.2353e-01
   46  8.5056e-02  1.1935e-01
   48  8.0457e-02  1.1514e-01
   50  7.5939e-02  1.1091e-01
   52  7.1557e-02  1.0663e-01
   54  6.7359e-02  1.0232e-01
   56  6.3376e-02  9.7972e-02
   58  5.9623e-02  9.3608e-02
   60  5.6101e-02  8.9246e-02
   62  5.2794e-02  8.4905e-02
   64  4.9680e-02  8.0610e-02
   66  4.6731e-02  7.6385e-02
   68  4.3921e-02  7.2255e-02
   70  4.1227e-02  6.8244e-02
   72  3.8635e-02  6.4369e-02
   74  3.6135e-02  6.0646e-02
   76  3.3727e-02  5.7084e-02
   78  3.1415e-02  5.3686e-02
   80  2.9207e-02  5.0452e-02
   82  2.7111e-02  4.7379e-02
   84  2.5134e-02  4.4458e-02
   86  2.3282e-02  4.1680e-02
   88  2.1555e-02  3.9037e-02
   90  1.9952e-02  3.6522e-02
   92  1.8469e-02  3.4130e-02
   94  1.7100e-02  3.1857e-02
   96  1.5837e-02  2.9706e-02
   98  1.4675e-02  2.7675e-02
  100  1.3606e-02  2.5768e-02
  102  1.2624e-02  2.3986e-02
  104  1.1723e-02  2.2329e-02
  106  1.0897e-02  2.0795e-02
  108  1.0139e-02  1.9379e-02
  110  9.4430e-03  1.8075e-02
  112  8.8003e-03  1.6873e-02
  114  8.2041e-03  1.5765e-02
  116  7.6470e-03  1.4743e-02
  118  7.1237e-03  1.3798e-02
  120  6.6298e-03  1.2927e-02
  122  6.1633e-03  1.2123e-02
  124  5.7239e-03  1.1387e-02
  126  5.3128e-03  1.0715e-02
  128  4.9321e-03  1.0107e-02
  130  4.5840e-03  9.5600e-03
  132  4.2703e-03  9.0708e-03
  134  3.9914e-03  8.6348e-03
  136  3.7466e-03  8.2459e-03
  138  3.5338e-03  7.8983e-03
  140  3.3500e-03  7.5857e-03
  142  3.1915e-03  7.3039e-03
  144  3.0549e-03  7.0500e-03
  146  2.9371e-03  6.8233e-03
  148  2.8357e-03  6.6251e-03
  150  2.7492e-03  6.4577e-03
  152  2.6766e-03  6.3241e-03
  154  2.6170e-03  6.2266e-03
  156  2.5695e-03  6.1660e-03
